inscription_id,meta_name,meta_trait,high_res_img_url,collection_page_img_url
49c20155f11b657ff83e407d59ecf8e2fe608bd4e36aecb60fdd01008d6b0b02i0,100033.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
b33e6bf68c8f061d83be0d67d6a61e6ef7ebc696d3a0e06181b32d11a75800e9i0,100034.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
93fd7e7823a624af1bf2ee0c29196a7e8a3091dd340e6c9b0ffdd7c576fd41a1i0,100035.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
bcd4b63388ae3c9b3c7bda2e199c79c2d9a205cc2033caf1d1908e63285a1b37i0,100036.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
be161ff98c44fd949b4f2289c57d1d1625cd4e3866bb58efbbd586bdcf0d2e9bi0,100037.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
68d2f312a916577cb1430989a20161aef26219cfa1582a53f9b6cdb0ed1df125i0,100038.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
eedb8a1c2dc3d7a4bfac9f7924535acef2dcb30942e7e7f30c86e61954447b0di0,100039.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
0d466c8cbb11544dcf4232305ac4a2b0ecac498c297eb0023bb1c3c9b9be8849i0,100040.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
29f5ae4dea744f9aabcea691e8e436c13a05d04750f2baa6b17d978c525c0a97i0,100041.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
300831d8ff08455428446f9d0ea8913260ec4abc637e4f457a7f08b911942978i0,100042.bitnats,0x11,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0x11.png,https://raw.githubusercontent.com/BitGnat/bitnats/refs/heads/main/images/0.png
